v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v6_5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31_1,v31_2,v31_3,v32_1,v32_2,v32_3,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,wei,wei2,area1,area2,area3,area4,area5,area6,area7
4,429,42,8,1,2,3,4,5,99,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,99,6,1,99,3,10,10,99,4,3,23,99,999,99,99,3,1,.8263,1.5011003831,1,0,1,3,3,9,3
7,260,33,8,1,1,99,99,99,99,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,97,2,1,1,2,2,2,97,99,99,6,1,99,3,2,0,99,4,3,23,99,999,99,99,3,2,.4613,.2230003945,3,1,1,3,3,9,2
18,204,43,8,1,1,99,99,99,99,1,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,97,2,2,2,2,2,2,97,99,99,6,1,99,3,5,0,99,1,3,23,99,999,99,99,3,1,.5888,.2325004044,2,1,1,3,3,9,2
7,264,49,7,1,2,3,99,99,99,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,97,2,1,2,2,2,2,1,99,99,2,1,99,2,5,4,99,1,5,23,99,999,99,99,3,1,.5998,.2900004719,5,1,3,3,3,9,5
20,600,56,6,1,1,2,3,4,99,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,99,99,2,1,99,2,10,10,99,4,3,23,99,999,99,99,3,1,.6552,.1842005121,2,3,1,3,3,9,2
10,521,50,7,1,1,99,99,99,99,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,99,2,1,99,3,7,5,99,2,8,23,99,999,99,99,3,1,.9529,1.2554005768,4,2,2,3,3,9,5
3,334,44,8,1,1,2,3,99,99,1,1,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,97,2,1,1,2,2,2,97,99,99,2,1,99,3,6,6,99,4,4,23,99,999,99,99,3,2,.7742,1.1392006342,1,0,1,3,2,1,3
2,114,49,7,1,1,2,3,99,99,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,97,2,1,1,2,1,2,1,2,99,6,1,99,1,7,5,99,4,5,23,99,999,99,99,4,1,1.0622,1.7079006425,1,0,1,3,3,9,2
13,612,40,8,1,1,2,3,99,99,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,97,2,1,1,2,2,2,1,99,99,6,1,99,2,8,6,99,4,6,23,99,999,99,99,3,2,.5815,.3083006698,3,3,2,3,3,9,5
2,114,48,8,1,1,2,3,99,99,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,97,2,1,1,2,1,2,1,99,99,6,1,99,2,8,5,99,4,5,23,99,999,99,99,3,2,.8832,1.4201006801,1,0,1,3,3,9,2
5,722,43,8,1,1,99,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,97,2,1,2,2,1,2,1,99,99,2,1,99,3,8,8,99,4,5,23,99,999,99,99,3,1,.6002,.7204007052,1,0,3,3,3,9,3
9,351,30,8,1,1,2,3,99,99,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,97,2,1,1,2,1,2,97,99,99,2,1,99,2,9,5,99,4,5,23,99,999,99,99,1,2,.4961,.2823007107,4,2,1,3,1,4,4
5,735,40,8,1,1,2,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,97,2,1,2,2,2,2,1,99,99,6,1,99,3,5,3,99,4,4,23,99,999,99,99,3,2,.5753,.6905007129,1,0,3,3,3,9,6
7,264,998,6,1,1,99,99,99,99,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,97,2,2,2,2,2,2,1,99,99,6,1,99,3,8,3,99,4,4,23,99,999,99,99,3,2,.8138,.393500729,5,1,3,3,3,9,5
2,110,38,8,1,1,3,2,99,99,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,97,2,1,2,2,2,2,97,99,99,2,1,99,2,7,6,99,4,7,23,99,999,99,99,3,2,.8832,1.4201007317,1,0,1,3,3,9,1
