v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_6,v9,v10,v11,v12_1,v12_2,v13_1,v13_2,v13_3,v14_1,v14_2,v14_3,v14_4,v14_5,v15,v16,v17,v18_1,v18_2,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,wei
11,542,52,7,1,1,3,4,99,1,4,99,99,99,99,99,3,3,3,1,2,1,2,99,3,99,99,99,99,1,1,2,99,99,999,2,3,3,3,3,3,3,3,3,2,3,3,4,5,2,.892129
4,414,80,4,1,97,99,99,99,1,1,4,99,99,99,99,6,6,7,1,2,1,3,99,3,99,99,99,99,1,1,2,99,99,999,2,7,3,10,3,3,8,6,8,5,0,7,4,7,1,1.09153
6,830,88,3,1,3,99,99,99,1,2,4,99,99,99,99,6,8,9,2,99,2,99,99,3,99,99,99,99,1,1,2,99,99,999,2,6,6,8,7,8,6,8,7,6,7,5,4,8,1,1.293322
13,602,59,6,1,2,99,99,99,1,4,5,99,99,99,99,7,8,5,1,99,97,99,99,3,99,99,99,99,1,1,2,99,99,999,2,9,6,6,8,8,7,7,7,9,98,8,4,5,1,1.041032
19,317,69,5,1,97,99,99,99,1,4,99,99,99,99,99,9,10,8,1,99,1,99,99,3,99,99,99,99,1,1,2,99,99,999,2,98,10,10,9,8,10,10,10,8,10,10,4,7,2,.918423
1,241,89,3,1,97,99,99,99,1,4,2,1,99,99,99,6,6,6,1,2,2,3,99,3,99,99,99,99,1,1,2,99,99,999,2,6,6,6,6,6,6,6,6,6,6,6,4,7,2,1.275494
1,251,58,6,1,1,4,99,99,1,4,1,2,3,99,99,5,5,5,1,2,1,99,99,3,99,99,99,99,1,2,2,99,99,999,2,4,8,5,6,8,6,5,9,5,6,5,4,8,1,.965734
20,601,66,5,2,99,99,99,99,1,4,99,99,99,99,99,5,5,5,1,2,97,99,99,3,99,99,99,99,1,2,2,99,99,999,2,5,5,5,5,5,5,5,5,5,5,5,4,6,1,.752288
6,806,998,6,1,4,99,99,99,1,4,2,99,99,99,99,9,9,9,1,2,1,2,3,3,99,99,99,99,1,1,2,99,99,999,2,9,9,9,9,10,9,8,8,10,10,9,4,8,1,1.041132
10,512,82,4,1,2,3,4,99,1,1,4,99,99,99,99,9,9,7,1,2,1,2,3,3,99,99,99,99,1,1,2,99,99,999,2,7,8,8,7,7,7,7,8,7,7,7,4,7,1,1.224398
1,237,50,7,1,4,99,99,99,1,4,99,99,99,99,99,2,2,0,2,99,97,99,99,3,99,99,99,99,1,2,2,99,99,999,2,0,0,0,2,2,2,2,5,2,2,2,4,5,2,.733265
4,428,74,4,1,4,99,99,99,1,4,1,2,99,99,99,9,10,10,1,2,97,99,99,3,99,99,99,99,1,2,2,99,99,999,2,5,5,5,3,7,5,5,6,5,3,5,4,7,1,1.008562
1,231,60,6,1,1,3,4,99,1,2,3,4,99,99,99,10,7,10,1,2,1,2,99,3,99,99,99,99,1,2,2,99,99,999,2,6,9,6,7,8,6,7,7,6,7,7,4,8,2,.876491
9,367,94,2,1,2,3,4,99,1,4,99,99,99,99,99,6,7,7,2,99,3,99,99,3,99,99,99,99,1,1,2,99,99,999,2,7,7,8,6,9,8,6,8,6,7,8,2,5,1,1.573102
13,606,51,7,1,1,2,4,99,1,4,5,99,99,99,99,8,8,10,1,2,1,2,3,3,99,99,99,99,1,1,2,99,99,999,2,3,6,6,6,8,8,98,8,6,8,8,4,6,1,.804679
3,338,78,4,1,1,2,3,4,1,4,2,96,99,99,99,10,9,10,1,2,1,3,99,3,99,99,99,99,1,1,2,99,99,999,2,8,7,8,7,8,6,8,7,6,7,7,4,7,1,1.101092
5,709,54,6,1,1,99,99,99,1,4,99,99,99,99,99,8,8,8,1,2,1,2,3,3,99,99,99,99,1,98,2,99,99,999,2,5,7,8,8,10,5,10,10,8,10,10,4,5,2,1.045913
4,421,60,6,1,97,99,99,99,1,4,99,99,99,99,99,5,5,6,2,99,3,99,99,3,99,99,99,99,1,2,2,99,99,999,2,6,6,5,7,10,5,7,6,5,6,7,4,5,2,.97161
2,114,49,7,1,97,99,99,99,1,4,99,99,99,99,99,1,2,4,2,99,97,99,99,3,99,99,99,99,1,2,2,99,99,999,2,98,1,1,3,4,2,2,2,2,3,2,4,6,1,.779778
3,334,53,7,1,3,99,99,99,1,1,4,99,99,99,99,6,7,9,1,2,1,2,3,3,99,99,99,99,1,2,2,99,99,999,2,8,6,4,0,7,7,6,8,8,4,7,4,6,1,.834858
1,236,38,10,1,97,99,99,99,1,4,99,99,99,99,99,0,0,98,2,99,97,99,99,3,99,99,99,99,1,1,2,99,99,999,2,98,0,98,98,5,98,98,98,98,98,5,4,1,1,.862846
